,graph,size,metric,time,error
360,erdos_renyi,10,degree,7.748603820800781e-05,
361,erdos_renyi,10,betweenness,0.00045013427734375,
362,erdos_renyi,10,closeness,0.00015687942504882812,
363,erdos_renyi,10,eigenvector,0.0004661083221435547,
364,erdos_renyi,10,pagerank,0.004061222076416016,
365,erdos_renyi,10,harmonic,0.00023937225341796875,
366,erdos_renyi,20,degree,0.00011181831359863281,
367,erdos_renyi,20,betweenness,0.0014503002166748047,
368,erdos_renyi,20,closeness,0.0004601478576660156,
369,erdos_renyi,20,eigenvector,0.0012371540069580078,
370,erdos_renyi,20,pagerank,0.0029306411743164062,
371,erdos_renyi,20,harmonic,0.0008423328399658203,
372,erdos_renyi,30,degree,0.00018310546875,
373,erdos_renyi,30,betweenness,0.0030221939086914062,
374,erdos_renyi,30,closeness,0.0009236335754394531,
375,erdos_renyi,30,eigenvector,0.0020308494567871094,
376,erdos_renyi,30,pagerank,0.0032143592834472656,
377,erdos_renyi,30,harmonic,0.0012421607971191406,
378,erdos_renyi,40,degree,0.0002772808074951172,
379,erdos_renyi,40,betweenness,0.006357908248901367,
380,erdos_renyi,40,closeness,0.0015687942504882812,
381,erdos_renyi,40,eigenvector,0.0029692649841308594,
382,erdos_renyi,40,pagerank,0.003098726272583008,
383,erdos_renyi,40,harmonic,0.0022673606872558594,
384,erdos_renyi,50,degree,0.0002713203430175781,
385,erdos_renyi,50,betweenness,0.009253501892089844,
386,erdos_renyi,50,closeness,0.0025527477264404297,
387,erdos_renyi,50,eigenvector,0.0036537647247314453,
388,erdos_renyi,50,pagerank,0.0034265518188476562,
389,erdos_renyi,50,harmonic,0.0030705928802490234,
390,erdos_renyi,60,degree,0.0003085136413574219,
391,erdos_renyi,60,betweenness,0.012880563735961914,
392,erdos_renyi,60,closeness,0.0030145645141601562,
393,erdos_renyi,60,eigenvector,0.003780364990234375,
394,erdos_renyi,60,pagerank,0.0037946701049804688,
395,erdos_renyi,60,harmonic,0.004624843597412109,
396,erdos_renyi,70,degree,0.0007109642028808594,
397,erdos_renyi,70,betweenness,0.017342090606689453,
398,erdos_renyi,70,closeness,0.004459857940673828,
399,erdos_renyi,70,eigenvector,0.005143165588378906,
400,erdos_renyi,70,pagerank,0.004120349884033203,
401,erdos_renyi,70,harmonic,0.006035566329956055,
